LAST SEEN   TYPE     REASON              OBJECT                    MESSAGE
13m         Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled down replica set scaletestapp-7dd77977f6 from 4 to 3
12m         Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled down replica set scaletestapp-7dd77977f6 from 3 to 1
9m51s       Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled up replica set scaletestapp-7dd77977f6 from 1 to 2
8m51s       Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled up replica set scaletestapp-7dd77977f6 from 2 to 3
7m35s       Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled up replica set scaletestapp-7dd77977f6 from 3 to 4
6m34s       Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled up replica set scaletestapp-7dd77977f6 from 4 to 5
5m34s       Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled up replica set scaletestapp-7dd77977f6 from 5 to 6
4m18s       Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled up replica set scaletestapp-7dd77977f6 from 6 to 7
3m17s       Normal   ScalingReplicaSet   deployment/scaletestapp   Scaled up replica set scaletestapp-7dd77977f6 from 7 to 8
61s         Normal   ScalingReplicaSet   deployment/scaletestapp   (combined from similar events): Scaled up replica set scaletestapp-7dd77977f6 from 9 to 10
